planta,fecha,hora_inicio,turno,linea,maquina,duracion_min,codigo_falla,categoria_falla,comentario_operario
Envases del Pacífico S.A.S.,2026-02-08,10:25,mañana,L3,EMP-06,22.7,CAL-02,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-08,12:52,mañana,L3,EMP-07,2.5,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-08,16:15,tarde,L3,EMP-06,20.0,ELE-04,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-02-08,17:33,tarde,L1,SOP-01,2.8,ELE-05,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-02-08,21:49,tarde,L1,SOP-02,19.6,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-08,23:39,noche,L1,SOP-02,2.2,CAL-03,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-09,01:37,noche,L1,SOP-01,12.2,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-02-09,03:48,noche,L3,EMP-06,4.1,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-02-09,07:20,mañana,L3,EMP-06,2.2,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-09,07:24,mañana,L1,SOP-01,11.7,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-02-09,08:44,mañana,L2,INY-03,19.8,OPE-05,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-09,09:20,mañana,L3,EMP-06,26.5,ELE-07,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-02-09,10:51,mañana,L3,EMP-06,10.8,MEC-01,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-09,17:06,tarde,L2,INY-04,13.7,OPE-05,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-09,21:59,tarde,L1,SOP-01,16.7,MEC-04,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-10,02:03,noche,L3,EMP-06,2.6,MEC-01,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-10,03:06,noche,L1,SOP-02,22.9,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-10,06:10,mañana,L2,INY-03,23.9,OPE-04,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-10,11:52,mañana,L3,EMP-07,33.0,,,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-10,16:16,tarde,L1,SOP-01,3.6,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-10,16:40,tarde,L1,SOP-01,2.8,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-10,19:51,tarde,L3,EMP-06,73.6,CAL-04,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-11,06:52,mañana,L1,SOP-02,3.7,OPE-02,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-11,11:27,mañana,L1,SOP-01,4.9,MEC-05,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-11,16:00,tarde,L1,SOP-01,19.6,OPE-07,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-12,02:04,noche,L2,INY-04,25.7,ELE-02,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-02-12,20:54,tarde,L2,INY-05,26.9,OPE-02,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-12,22:37,noche,L2,INY-05,2.1,MEC-06,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-12,22:51,noche,L3,EMP-07,30.5,CAL-08,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-12,23:04,noche,L2,INY-05,1.9,ELE-02,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-02-13,01:35,noche,L1,SOP-02,3.6,OPE-07,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-13,03:38,noche,L2,INY-03,25.3,OPE-04,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-13,05:51,noche,L2,INY-05,19.0,CAL-06,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-13,09:42,mañana,L2,INY-03,25.0,MPR-04,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-13,11:33,mañana,L3,EMP-06,30.7,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-13,13:15,mañana,L2,INY-03,11.6,OPE-02,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-13,16:38,tarde,L3,EMP-06,5.4,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-02-13,22:24,noche,L3,EMP-07,9.4,OPE-08,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-13,22:28,noche,L1,SOP-02,38.0,OPE-01,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-13,22:47,noche,L2,INY-05,5.2,MPR-02,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-02-14,00:00,noche,L2,INY-04,2.5,CAL-06,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-14,00:07,noche,L1,SOP-01,2.9,OPE-08,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-14,00:21,noche,L1,SOP-02,9.6,,,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-14,00:40,noche,L2,INY-04,28.2,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-02-14,00:50,noche,L3,EMP-07,14.8,MEC-05,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-14,01:11,noche,L2,INY-04,20.5,MEC-05,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-14,02:04,noche,L3,EMP-06,4.2,MPR-05,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-14,02:24,noche,L2,INY-05,2.2,MEC-03,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-14,02:39,noche,L3,EMP-07,15.0,,,falla del variador
Envases del Pacífico S.A.S.,2026-02-14,03:34,noche,L2,INY-03,12.5,MPR-02,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-14,04:03,noche,L2,INY-03,4.3,MPR-06,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-14,05:39,noche,L3,EMP-06,4.7,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-02-14,10:15,mañana,L1,SOP-02,4.1,MPR-08,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-02-14,14:09,tarde,L2,INY-05,1.9,OPE-04,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-14,21:57,tarde,L2,INY-03,46.6,CAL-05,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-15,00:58,noche,L3,EMP-06,49.2,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-15,03:53,noche,L3,EMP-06,6.5,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-15,04:28,noche,L3,EMP-06,1.3,CAL-05,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-15,06:55,mañana,L2,INY-04,31.1,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-15,07:05,mañana,L3,EMP-06,40.0,,,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-15,07:19,mañana,L3,EMP-07,4.6,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-15,11:14,mañana,L3,EMP-06,2.0,MPR-04,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-15,21:35,tarde,L1,SOP-01,24.2,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-02-15,21:58,tarde,L3,EMP-06,87.3,MEC-07,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-16,01:16,noche,L2,INY-03,3.7,MPR-05,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-16,03:52,noche,L1,SOP-01,10.9,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-16,04:02,noche,L3,EMP-07,13.2,,,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-16,06:40,mañana,L3,EMP-07,4.6,MEC-08,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-16,14:23,tarde,L3,EMP-06,37.9,OPE-04,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-16,18:45,tarde,L1,SOP-01,12.8,MEC-07,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-16,20:40,tarde,L3,EMP-07,21.0,OPE-06,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-16,20:48,tarde,L3,EMP-06,1.4,MEC-04,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-16,22:31,noche,L2,INY-04,2.7,ELE-01,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-02-16,23:07,noche,L3,EMP-06,1.5,MEC-02,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-17,02:22,noche,L1,SOP-02,4.2,CAL-06,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-17,07:22,mañana,L3,EMP-06,15.5,MPR-08,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-17,11:07,mañana,L3,EMP-07,23.6,OPE-01,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-17,17:38,tarde,L2,INY-04,173.0,CAL-04,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-17,19:33,tarde,L1,SOP-01,3.9,CAL-06,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-17,20:35,tarde,L1,SOP-01,27.8,MEC-08,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-17,20:58,tarde,L2,INY-04,1.1,,,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-02-17,21:51,tarde,L2,INY-04,16.3,MPR-01,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-17,22:03,noche,L2,INY-04,48.0,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-17,22:15,noche,L2,INY-05,2.6,OPE-04,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-18,01:57,noche,L2,INY-04,9.1,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-02-18,06:43,mañana,L3,EMP-06,71.0,OPE-02,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-18,15:03,tarde,L1,SOP-02,24.6,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-18,17:10,tarde,L3,EMP-06,11.9,OPE-08,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-18,18:08,tarde,L1,SOP-02,35.1,CAL-02,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-18,18:46,tarde,L3,EMP-06,17.2,OPE-08,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-19,00:53,noche,L1,SOP-01,33.0,ELE-01,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-02-19,00:57,noche,L2,INY-05,3.7,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-19,09:52,mañana,L2,INY-04,10.5,MPR-07,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-19,10:03,mañana,L2,INY-04,4.2,MPR-05,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-19,10:12,mañana,L3,EMP-06,23.6,OPE-03,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-19,12:07,mañana,L3,EMP-07,17.5,OPE-08,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-19,12:21,mañana,L2,INY-03,19.5,OPE-02,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-19,14:28,tarde,L2,INY-04,20.4,MEC-04,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-19,16:19,tarde,L1,SOP-02,8.9,,,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-19,21:22,tarde,L2,INY-05,1.5,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-19,22:04,noche,L3,EMP-07,3.5,OPE-07,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-20,02:04,noche,L2,INY-04,1.6,ELE-01,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-02-20,09:26,mañana,L2,INY-04,22.4,,,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-02-20,13:40,mañana,L1,SOP-01,2.7,MEC-06,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-20,14:32,tarde,L1,SOP-01,1.7,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-02-20,14:46,tarde,L2,INY-05,2.4,OPE-02,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-20,16:17,tarde,L2,INY-03,55.9,ELE-05,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-02-20,16:49,tarde,L2,INY-05,16.1,ELE-08,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-02-20,21:51,tarde,L2,INY-03,4.8,MEC-01,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-20,22:53,noche,L2,INY-05,12.1,OPE-06,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-21,00:53,noche,L2,INY-03,4.3,OPE-05,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-02-21,01:19,noche,L2,INY-03,13.7,OPE-06,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-21,01:21,noche,L2,INY-03,30.0,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-02-21,02:32,noche,L2,INY-05,13.9,CAL-04,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-21,03:33,noche,L2,INY-03,2.1,MEC-06,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-21,03:35,noche,L2,INY-05,9.1,OPE-05,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-21,03:58,noche,L2,INY-03,15.0,CAL-08,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-21,04:27,noche,L2,INY-03,2.0,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-21,08:45,mañana,L1,SOP-02,60.4,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-21,10:53,mañana,L2,INY-04,3.4,MEC-04,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-21,11:35,mañana,L2,INY-04,22.0,OPE-05,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-21,16:49,tarde,L3,EMP-06,2.2,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-21,17:16,tarde,L3,EMP-06,3.2,MEC-03,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-21,21:13,tarde,L1,SOP-02,24.9,,,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-21,23:36,noche,L2,INY-03,6.0,OPE-04,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-22,04:55,noche,L2,INY-03,1.2,CAL-02,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-02-22,23:06,noche,L1,SOP-02,23.0,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-23,07:58,mañana,L3,EMP-07,34.6,OPE-04,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-23,14:03,tarde,L3,EMP-07,3.4,MEC-04,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-23,17:48,tarde,L3,EMP-07,13.4,MEC-04,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-23,21:07,tarde,L2,INY-05,2.7,,,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-02-23,22:29,noche,L3,EMP-07,54.3,,,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-24,00:59,noche,L1,SOP-02,34.3,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-02-24,02:06,noche,L1,SOP-01,1.8,MPR-01,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-24,02:09,noche,L3,EMP-07,5.0,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-02-24,05:32,noche,L1,SOP-01,24.1,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-02-24,08:43,mañana,L2,INY-05,29.2,MEC-08,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-02-24,09:30,mañana,L2,INY-03,34.2,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-02-24,11:45,mañana,L2,INY-04,56.3,CAL-07,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-02-24,16:47,tarde,L3,EMP-07,2.1,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-02-24,22:48,noche,L3,EMP-06,3.8,CAL-05,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-25,00:14,noche,L3,EMP-07,1.6,CAL-05,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-02-25,04:44,noche,L2,INY-04,1.6,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-02-25,05:07,noche,L2,INY-03,17.1,MEC-05,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-02-25,09:53,mañana,L1,SOP-02,3.3,MPR-07,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-02-25,21:16,tarde,L3,EMP-06,17.4,OPE-03,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-26,00:04,noche,L3,EMP-07,21.5,OPE-05,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-02-26,00:33,noche,L3,EMP-07,51.3,OPE-05,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-02-26,17:23,tarde,L2,INY-03,1.0,MEC-05,Mecánica,"rodamiento haciendo ruido, hubo que parar"
