fecha,hora,turno,linea,sku,origen,tipo_evento,descripcion,firmado_por
2026-02-08,00:16,noche,L3,GAL-3800,HMI,Paro no programado,paro por atasco en la banda de salida,A. Quintero
2026-02-08,00:38,noche,L3,GAL-3800,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,M. Ocampo
2026-02-08,01:49,noche,L3,GAL-3800,Bitácora,Alarma HMI,alarma de dosificador,A. Quintero
2026-02-08,01:59,noche,L1,ENV-500,HMI,Inspección de calidad,revisión dimensional de rutina,A. Quintero
2026-02-08,02:21,noche,L1,ENV-500,HMI,Inspección de calidad,muestreo de peso conforme al plan,D. Valencia
2026-02-08,02:28,noche,L3,GAL-3800,Bitácora,Arranque de turno,arranque normal del equipo,J. Peláez
2026-02-08,03:55,noche,L1,ENV-500,Bitácora,Inspección de calidad,revisión dimensional de rutina,M. Ocampo
2026-02-08,05:36,noche,L1,ENV-500,HMI,Mantenimiento correctivo,ajuste de cierre del molde,L. Betancur
2026-02-08,06:19,mañana,L3,GAL-3800,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,A. Quintero
2026-02-08,07:07,mañana,L1,ENV-500,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,D. Valencia
2026-02-08,08:39,mañana,L3,GAL-3800,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,D. Valencia
2026-02-08,08:47,mañana,L1,ENV-500,Bitácora,Inspección de calidad,revisión dimensional de rutina,L. Betancur
2026-02-08,09:34,mañana,L1,ENV-500,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,L. Betancur
2026-02-08,10:56,mañana,L3,GAL-3800,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",A. Quintero
2026-02-08,13:16,mañana,L1,ENV-500,Bitácora,Paro no programado,paro por atasco en la banda de salida,C. Ramírez
2026-02-08,13:28,mañana,L3,GAL-3800,HMI,Inspección de calidad,muestreo de peso conforme al plan,A. Quintero
2026-02-08,13:42,mañana,L1,ENV-500,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,M. Ocampo
2026-02-08,14:36,tarde,L1,ENV-500,HMI,Alarma HMI,alarma de temperatura de zona 3,C. Ramírez
2026-02-08,15:12,tarde,L3,GAL-3800,Bitácora,Arranque de turno,arranque normal del equipo,D. Valencia
2026-02-08,16:44,tarde,L3,GAL-3800,HMI,Alarma HMI,alarma de dosificador,A. Quintero
2026-02-08,17:16,tarde,L3,GAL-3800,Bitácora,Paro no programado,paro por falta de resina en tolva,D. Valencia
2026-02-08,17:53,tarde,L3,GAL-3800,Bitácora,Ajuste de proceso,ajuste de contrapresión,J. Peláez
2026-02-08,18:30,tarde,L1,ENV-500,HMI,Alarma HMI,falla de sensor de posición del husillo,J. Peláez
2026-02-08,19:21,tarde,L1,ENV-500,HMI,Inspección de calidad,muestreo de peso conforme al plan,D. Valencia
2026-02-08,22:02,noche,L1,ENV-500,HMI,Arranque de turno,arranque normal del equipo,L. Betancur
2026-02-08,22:05,noche,L3,GAL-3800,HMI,Arranque de turno,arranque normal del equipo,L. Betancur
2026-02-09,00:44,noche,L1,ENV-500,HMI,Inspección de calidad,revisión dimensional de rutina,M. Ocampo
2026-02-09,02:02,noche,L2,TAP-38,Bitácora,Alarma HMI,alarma de temperatura de zona 3,C. Ramírez
2026-02-09,02:23,noche,L3,GAL-3800,Bitácora,Inspección de calidad,revisión dimensional de rutina,C. Ramírez
2026-02-09,02:47,noche,L2,TAP-38,Bitácora,Arranque de turno,arranque normal del equipo,D. Valencia
2026-02-09,02:51,noche,L1,ENV-500,Bitácora,Paro no programado,paro por atasco en la banda de salida,A. Quintero
2026-02-09,03:52,noche,L2,TAP-38,Bitácora,Ajuste de proceso,ajuste de contrapresión,J. Peláez
2026-02-09,05:17,noche,L3,GAL-3800,Bitácora,Alarma HMI,falla de sensor de posición del husillo,A. Quintero
2026-02-09,06:35,mañana,L2,TAP-38,HMI,Ajuste de proceso,ajuste de contrapresión,A. Quintero
2026-02-09,06:59,mañana,L2,TAP-38,Bitácora,Paro no programado,paro eléctrico breve,J. Peláez
2026-02-09,07:44,mañana,L2,TAP-38,Bitácora,Paro no programado,paro por atasco en la banda de salida,C. Ramírez
2026-02-09,07:51,mañana,L3,GAL-3800,HMI,Mantenimiento correctivo,ajuste de cierre del molde,M. Ocampo
2026-02-09,08:44,mañana,L1,ENV-500,HMI,Paro no programado,paro eléctrico breve,D. Valencia
2026-02-09,10:07,mañana,L2,TAP-38,HMI,Alarma HMI,falla de sensor de posición del husillo,C. Ramírez
2026-02-09,10:30,mañana,L3,GAL-3800,HMI,Inspección de calidad,revisión dimensional de rutina,J. Peláez
2026-02-09,10:40,mañana,L2,TAP-38,HMI,Paro no programado,paro por atasco en la banda de salida,L. Betancur
2026-02-09,11:59,mañana,L1,ENV-500,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",M. Ocampo
2026-02-09,12:09,mañana,L1,ENV-500,Bitácora,Arranque de turno,arranque con precalentamiento del molde,A. Quintero
2026-02-09,13:17,mañana,L3,GAL-3800,HMI,Mantenimiento correctivo,ajuste de cierre del molde,J. Peláez
2026-02-09,16:05,tarde,L1,ENV-500,HMI,Paro no programado,paro por atasco en la banda de salida,C. Ramírez
2026-02-09,16:50,tarde,L2,TAP-38,HMI,Alarma HMI,presión de inyección fuera de banda,M. Ocampo
2026-02-09,18:34,tarde,L2,TAP-38,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,D. Valencia
2026-02-09,19:00,tarde,L1,ENV-500,Bitácora,Ajuste de proceso,se corrigió el perfil de temperaturas,C. Ramírez
2026-02-09,19:28,tarde,L1,ENV-500,HMI,Paro no programado,paro eléctrico breve,C. Ramírez
2026-02-09,19:30,tarde,L2,TAP-38,HMI,Arranque de turno,arranque normal del equipo,A. Quintero
2026-02-09,20:18,tarde,L1,ENV-500,HMI,Inspección de calidad,muestreo de peso conforme al plan,D. Valencia
2026-02-09,20:41,tarde,L1,ENV-500,HMI,Paro no programado,paro por atasco en la banda de salida,A. Quintero
2026-02-09,22:14,noche,L1,ENV-500,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,J. Peláez
2026-02-09,22:30,noche,L2,TAP-38,HMI,Arranque de turno,arranque con precalentamiento del molde,C. Ramírez
2026-02-09,22:38,noche,L1,ENV-500,Bitácora,Paro no programado,paro por falta de resina en tolva,A. Quintero
2026-02-09,22:42,noche,L1,ENV-500,Bitácora,Paro no programado,paro por atasco en la banda de salida,A. Quintero
2026-02-09,23:01,noche,L3,GAL-3800,HMI,Inspección de calidad,revisión dimensional de rutina,M. Ocampo
2026-02-09,23:15,noche,L2,TAP-38,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,A. Quintero
2026-02-10,00:02,noche,L1,ENV-500,Bitácora,Alarma HMI,alarma de temperatura de zona 3,L. Betancur
2026-02-10,00:18,noche,L2,TAP-38,HMI,Inspección de calidad,revisión dimensional de rutina,A. Quintero
2026-02-10,00:36,noche,L1,ENV-500,HMI,Alarma HMI,presión de inyección fuera de banda,C. Ramírez
2026-02-10,03:56,noche,L1,ENV-500,Bitácora,Paro no programado,paro eléctrico breve,M. Ocampo
2026-02-10,04:59,noche,L2,TAP-38,HMI,Paro no programado,paro eléctrico breve,C. Ramírez
2026-02-10,05:15,noche,L1,ENV-500,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,A. Quintero
2026-02-10,06:59,mañana,L1,ENV-500,Bitácora,Ajuste de proceso,se bajó el tiempo de enfriamiento,D. Valencia
2026-02-10,07:58,mañana,L3,GAL-3800,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",D. Valencia
2026-02-10,10:21,mañana,L1,ENV-500,Bitácora,Paro no programado,paro por atasco en la banda de salida,D. Valencia
2026-02-10,12:07,mañana,L3,GAL-3800,HMI,Ajuste de proceso,se corrigió el perfil de temperaturas,C. Ramírez
2026-02-10,12:31,mañana,L3,GAL-3800,Bitácora,Inspección de calidad,revisión dimensional de rutina,A. Quintero
2026-02-10,13:00,mañana,L2,TAP-38,Bitácora,Inspección de calidad,revisión dimensional de rutina,C. Ramírez
2026-02-10,13:35,mañana,L2,TAP-38,Bitácora,Ajuste de proceso,ajuste de contrapresión,D. Valencia
2026-02-10,16:25,tarde,L2,TAP-38,HMI,Paro no programado,paro por atasco en la banda de salida,C. Ramírez
2026-02-10,17:24,tarde,L3,GAL-3800,HMI,Alarma HMI,alarma de dosificador,J. Peláez
2026-02-10,17:50,tarde,L2,TAP-38,HMI,Mantenimiento correctivo,ajuste de cierre del molde,M. Ocampo
2026-02-10,17:57,tarde,L1,ENV-500,Bitácora,Mantenimiento correctivo,cambio de resistencia de la zona 2,C. Ramírez
2026-02-10,18:02,tarde,L3,GAL-3800,Bitácora,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",M. Ocampo
2026-02-10,18:09,tarde,L3,GAL-3800,HMI,Paro no programado,paro por atasco en la banda de salida,A. Quintero
2026-02-10,18:19,tarde,L1,ENV-500,HMI,Paro no programado,paro eléctrico breve,D. Valencia
2026-02-10,18:24,tarde,L1,ENV-500,Bitácora,Alarma HMI,alarma de dosificador,C. Ramírez
2026-02-10,18:26,tarde,L2,TAP-38,HMI,Ajuste de proceso,ajuste de contrapresión,L. Betancur
2026-02-10,19:18,tarde,L1,ENV-500,Bitácora,Alarma HMI,presión de inyección fuera de banda,C. Ramírez
2026-02-10,19:21,tarde,L1,ENV-500,Bitácora,Ajuste de proceso,ajuste de contrapresión,L. Betancur
2026-02-10,20:11,tarde,L2,TAP-38,Bitácora,Paro no programado,paro por atasco en la banda de salida,L. Betancur
2026-02-10,21:00,tarde,L2,TAP-38,HMI,Arranque de turno,"el molde arrancó por debajo de temperatura, primeras piezas con rebaba",J. Peláez
2026-02-10,21:33,tarde,L3,GAL-3800,Bitácora,Alarma HMI,falla de sensor de posición del husillo,J. Peláez
2026-02-10,23:28,noche,L2,TAP-38,HMI,Inspección de calidad,muestreo de peso conforme al plan,M. Ocampo
2026-02-11,04:14,noche,L2,TAP-38,HMI,Inspección de calidad,revisión dimensional de rutina,A. Quintero
2026-02-11,04:20,noche,L2,TAP-38,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-11,06:48,mañana,L1,ENV-500,HMI,Inspección de calidad,revisión dimensional de rutina,L. Betancur
2026-02-11,09:04,mañana,L1,ENV-500,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,A. Quintero
2026-02-11,13:08,mañana,L1,ENV-500,HMI,Ajuste de proceso,se bajó el tiempo de enfriamiento,A. Quintero
2026-02-11,16:10,tarde,L1,ENV-500,HMI,Mantenimiento correctivo,cambio de resistencia de la zona 2,A. Quintero
2026-02-11,16:52,tarde,L1,ENV-500,HMI,Arranque de turno,arranque con precalentamiento del molde,A. Quintero
2026-02-11,21:00,tarde,L1,ENV-500,HMI,Alarma HMI,alarma de dosificador,D. Valencia
2026-02-11,21:02,tarde,L1,ENV-500,Bitácora,Mantenimiento correctivo,ajuste de cierre del molde,L. Betancur
