fecha,turno,linea,sku,molde,cavidad,lote_resina,peso_g,peso_objetivo_g,veredicto
2026-02-08,mañana,L1,ENV-500,M-12,2,R-P0001,24.575,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,1,R-P0001,24.296,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,6,R-P0001,24.133,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,2,R-P0001,24.69,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,7,R-P0001,25.122,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,3,R-P0001,23.752,24.5,no conforme
2026-02-08,mañana,L1,ENV-500,M-12,4,R-P0001,24.065,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,4,R-P0001,23.213,24.5,no conforme
2026-02-08,mañana,L1,ENV-500,M-12,1,R-P0001,24.806,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,5,R-P0001,24.789,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,2,R-P0001,24.84,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,2,R-P0001,24.625,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,6,R-P0001,24.749,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,1,R-P0001,24.474,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,5,R-P0001,24.206,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,6,R-P0001,24.612,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,1,R-P0001,24.434,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,8,R-P0001,24.839,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,6,R-P0001,25.039,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,7,R-P0001,24.568,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,1,R-P0001,24.477,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,3,R-P0001,24.102,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,7,R-P0001,24.575,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,1,R-P0001,24.316,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,8,R-P0001,25.246,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,6,R-P0001,24.678,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,3,R-P0001,24.339,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,3,R-P0001,24.376,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,5,R-P0001,24.299,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,7,R-P0001,24.898,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,8,R-P0001,24.786,24.5,conforme
2026-02-08,mañana,L1,ENV-500,M-12,8,R-P0001,24.136,24.5,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,2,R-P0001,100.213,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,4,R-P0001,96.572,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,97.153,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,99.449,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,98.429,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,96.814,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,97.455,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,2,R-P0001,97.929,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,97.927,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,2,R-P0001,97.983,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,4,R-P0001,97.81,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,98.092,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,99.676,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,98.148,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,4,R-P0001,97.097,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,99.845,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,97.708,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,99.183,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,96.567,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,1,R-P0001,97.746,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,4,R-P0001,97.076,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,2,R-P0001,96.565,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,4,R-P0001,97.034,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,3,R-P0001,97.436,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,4,R-P0001,96.362,96.4,conforme
2026-02-08,mañana,L3,GAL-3800,M-22,2,R-P0001,89.218,96.4,no conforme
2026-02-08,tarde,L1,ENV-500,M-12,1,R-P0001,24.568,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,8,R-P0001,24.414,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,1,R-P0001,25.236,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,7,R-P0001,24.673,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,7,R-P0001,24.426,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,2,R-P0001,24.543,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,1,R-P0001,24.655,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,2,R-P0001,24.685,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,3,R-P0001,24.068,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,7,R-P0001,24.81,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,3,R-P0001,24.799,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,1,R-P0001,24.381,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,5,R-P0001,23.97,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,1,R-P0001,24.951,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,3,R-P0001,24.176,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,6,R-P0001,24.442,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,5,R-P0001,23.98,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,5,R-P0001,24.495,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,1,R-P0001,24.305,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,7,R-P0001,24.666,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,7,R-P0001,24.014,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,8,R-P0001,24.72,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,4,R-P0001,24.867,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,2,R-P0001,24.197,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,2,R-P0001,24.226,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,6,R-P0001,24.219,24.5,conforme
2026-02-08,tarde,L1,ENV-500,M-12,8,R-P0001,24.852,24.5,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,99.386,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,96.055,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,98.548,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,1,R-P0001,91.561,96.4,no conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,96.858,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,4,R-P0001,97.04,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,4,R-P0001,99.15,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,98.433,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,98.104,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,98.335,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,96.421,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,1,R-P0001,96.298,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,97.175,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,1,R-P0001,97.938,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,4,R-P0001,97.641,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,97.227,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,4,R-P0001,96.942,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,99.188,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,1,R-P0001,96.91,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,1,R-P0001,99.118,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,95.717,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,2,R-P0001,95.554,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,4,R-P0001,98.872,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,1,R-P0001,97.936,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,4,R-P0001,98.318,96.4,conforme
2026-02-08,tarde,L3,GAL-3800,M-22,3,R-P0001,98.389,96.4,conforme
2026-02-08,noche,L1,ENV-500,M-12,6,R-P0001,24.531,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,6,R-P0001,24.269,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,7,R-P0001,24.641,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,7,R-P0001,24.773,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,4,R-P0001,24.57,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,7,R-P0001,24.708,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,4,R-P0001,24.033,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,4,R-P0001,24.293,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,1,R-P0001,23.884,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,2,R-P0001,24.494,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,1,R-P0001,24.198,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,7,R-P0001,24.712,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,7,R-P0001,24.363,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,3,R-P0001,24.4,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,3,R-P0001,24.388,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,6,R-P0001,24.974,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,4,R-P0001,24.683,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,8,R-P0001,24.675,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,8,R-P0001,24.731,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,1,R-P0001,24.828,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,3,R-P0001,24.469,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,2,R-P0001,24.578,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,2,R-P0001,24.324,24.5,conforme
2026-02-08,noche,L1,ENV-500,M-12,1,R-P0001,23.847,24.5,conforme
2026-02-08,noche,L3,GAL-3800,M-22,2,R-P0001,95.507,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,4,R-P0001,97.76,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,1,R-P0001,97.501,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,1,R-P0001,95.203,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,97.776,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,1,R-P0001,99.094,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,99.864,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,95.462,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,96.634,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,1,R-P0001,97.926,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,1,R-P0001,97.032,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,97.286,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,97.257,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,4,R-P0001,96.938,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,2,R-P0001,94.703,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,1,R-P0001,98.203,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,4,R-P0001,95.027,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,97.226,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,2,R-P0001,96.705,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,2,R-P0001,97.371,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,4,R-P0001,98.637,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,4,R-P0001,97.629,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,3,R-P0001,97.416,96.4,conforme
2026-02-08,noche,L3,GAL-3800,M-22,2,R-P0001,96.676,96.4,conforme
2026-02-09,mañana,L1,ENV-500,M-12,6,R-P0001,24.511,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,1,R-P0001,24.495,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,3,R-P0001,24.268,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,2,R-P0001,24.312,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,2,R-P0001,25.298,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,2,R-P0001,24.461,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,3,R-P0001,25.174,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,7,R-P0001,24.838,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,7,R-P0001,24.498,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,24.406,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,24.471,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,6,R-P0001,24.819,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,4,R-P0001,23.919,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,24.05,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,24.714,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,3,R-P0001,24.594,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,3,R-P0001,24.904,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,4,R-P0001,24.279,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,25.032,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,24.787,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,5,R-P0001,24.558,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,3,R-P0001,24.419,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,4,R-P0001,24.718,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,8,R-P0001,24.778,24.5,conforme
2026-02-09,mañana,L1,ENV-500,M-12,2,R-P0001,24.295,24.5,conforme
2026-02-09,mañana,L2,TAP-38,M-04,14,R-P0001,3.148,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,12,R-P0001,3.14,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,11,R-P0001,3.151,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,13,R-P0001,3.186,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,15,R-P0001,3.164,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,15,R-P0001,3.172,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,13,R-P0001,3.146,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,2,R-P0001,3.107,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,6,R-P0001,3.047,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,9,R-P0001,3.153,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,4,R-P0001,3.102,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,3,R-P0001,3.184,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,8,R-P0001,3.16,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,8,R-P0001,3.149,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,1,R-P0001,3.113,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,9,R-P0001,3.141,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,5,R-P0001,3.156,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,7,R-P0001,3.151,3.1,conforme
2026-02-09,mañana,L2,TAP-38,M-04,4,R-P0001,3.118,3.1,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,3,R-P0001,99.8,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,96.21,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,95.995,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,98.422,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,99.586,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,97.024,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,3,R-P0001,96.125,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,98.002,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,96.174,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,98.897,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,98.397,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,3,R-P0001,95.544,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,97.834,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,96.631,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,97.626,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,97.476,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,3,R-P0001,93.746,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,97.535,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,95.512,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,97.513,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,97.429,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,2,R-P0001,95.831,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,97.029,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,94.85,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,96.281,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,98.462,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,99.709,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,4,R-P0001,99.05,96.4,conforme
2026-02-09,mañana,L3,GAL-3800,M-22,1,R-P0001,95.704,96.4,conforme
2026-02-09,tarde,L1,ENV-500,M-12,2,R-P0001,23.483,24.5,no conforme
2026-02-09,tarde,L1,ENV-500,M-12,8,R-P0001,24.313,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,3,R-P0001,24.921,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,6,R-P0001,24.259,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,7,R-P0001,24.675,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,3,R-P0001,24.387,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,7,R-P0001,24.637,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,2,R-P0001,24.523,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,6,R-P0001,24.792,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,7,R-P0001,24.58,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,5,R-P0001,24.796,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,3,R-P0001,24.651,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,8,R-P0001,24.454,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,1,R-P0001,24.526,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,7,R-P0001,24.37,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,5,R-P0001,24.034,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,2,R-P0001,24.163,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,6,R-P0001,24.5,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,1,R-P0001,24.626,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,1,R-P0001,24.594,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,8,R-P0001,24.182,24.5,conforme
2026-02-09,tarde,L1,ENV-500,M-12,7,R-P0001,24.152,24.5,conforme
