planta,fecha,turno,linea,sku,lote_resina,kg_consumida,kg_scrap,unidades_producidas,unidades_rechazadas,cambios_molde,cambios_color,paro_no_programado_min,arranque_post_mantenimiento,nota_supervisor
Envases del Pacífico S.A.S.,2026-02-08,mañana,L1,ENV-500,R-P0001,604.89,20.26,23860,538,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-08,mañana,L3,GAL-3800,R-P0001,681.91,22.45,6762,150,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-08,tarde,L1,ENV-500,R-P0001,591.14,19.74,23328,524,0,0,0,1,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-08,tarde,L3,GAL-3800,R-P0001,440.21,10.03,4415,67,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-08,noche,L1,ENV-500,R-P0001,365.53,9.63,14542,256,0,0,71,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-08,noche,L3,GAL-3800,R-P0001,782.17,28.29,7763,189,0,1,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-09,mañana,L1,ENV-500,R-P0001,494.42,18.49,19359,489,0,0,0,1,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-09,mañana,L2,TAP-38,R-P0001,464.87,13.21,143771,2733,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-09,mañana,L3,GAL-3800,R-P0001,535.75,13.75,5371,92,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-09,tarde,L1,ENV-500,R-P0001,763.44,24.13,30208,641,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-09,tarde,L2,TAP-38,R-P0001,505.72,14.33,156664,2969,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-09,noche,L1,ENV-500,R-P0001,521.55,14.63,20766,390,0,0,71,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-09,noche,L2,TAP-38,R-P0001,531.32,12.05,166502,2511,0,0,60,0,producción estable
Envases del Pacífico S.A.S.,2026-02-09,noche,L3,GAL-3800,R-P0001,389.99,11.73,3880,78,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-10,mañana,L1,ENV-500,R-P0001,476.54,13.19,18882,349,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-10,mañana,L2,TAP-38,R-P0001,603.46,17.18,187753,3576,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-10,mañana,L3,GAL-3800,R-P0001,568.55,15.68,5677,105,0,0,84,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-10,tarde,L1,ENV-500,R-P0001,538.4,15.32,21354,406,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-10,tarde,L2,TAP-38,R-P0001,511.73,11.52,159982,2394,0,0,15,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-10,tarde,L3,GAL-3800,R-P0002,577.44,11.59,5792,77,0,0,56,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-10,noche,L1,ENV-500,R-P0002,489.52,16.25,19383,433,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-10,noche,L2,TAP-38,R-P0002,549.85,16.27,171465,3398,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-11,mañana,L1,ENV-500,R-P0002,604.07,15.25,23938,403,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-11,tarde,L1,ENV-500,R-P0002,467.03,10.15,18612,269,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-11,noche,L2,TAP-38,R-P0002,590.93,22.24,182143,4630,0,1,19,0,turno normal
Envases del Pacífico S.A.S.,2026-02-12,mañana,L2,TAP-38,R-P0002,732.41,23.55,227941,4922,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-12,mañana,L3,ENV-500,R-P0002,651.04,25.91,25586,689,1,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-12,tarde,L1,ENV-500,R-P0002,522.72,12.51,20811,332,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-12,tarde,L2,TAP-38,R-P0002,531.56,15.96,165609,3333,0,0,13,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-12,tarde,L3,ENV-500,R-P0002,672.59,20.43,26544,541,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-12,noche,L1,ENV-500,R-P0002,477.64,13.05,18887,345,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-12,noche,L2,TAP-38,R-P0002,523.3,15.61,162494,3248,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-12,noche,L3,ENV-500,R-P0002,481.11,15.67,19081,418,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-13,mañana,L1,ENV-500,R-P0002,412.98,9.96,16476,265,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-13,mañana,L2,TAP-38,R-P0002,571.9,14.36,178374,2987,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-13,mañana,L3,ENV-500,R-P0003,534.35,15.55,21288,415,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-13,tarde,L3,ENV-500,R-P0003,571.85,17.72,22597,470,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-13,noche,L1,ENV-500,R-P0003,473.41,14.91,18699,395,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-13,noche,L2,TAP-38,R-P0003,428.67,9.96,133430,2064,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-13,noche,L3,ENV-500,R-P0003,477.67,15.61,18796,413,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-14,mañana,L1,ENV-1000,R-P0003,450.56,18.05,11350,308,1,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-14,mañana,L2,TAP-38,R-P0003,465.21,13.04,144777,2714,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-14,mañana,L3,ENV-500,R-P0003,553.79,14.51,21899,383,0,0,38,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-14,tarde,L1,ENV-1000,R-P0003,530.65,15.78,13433,268,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-14,tarde,L2,TAP-38,R-P0003,358.75,8.9,112060,1852,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-14,tarde,L3,ENV-500,R-P0003,531.52,11.43,21135,302,0,0,55,0,producción estable
Envases del Pacífico S.A.S.,2026-02-14,noche,L3,ENV-500,R-P0003,599.12,15.91,23736,421,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-15,mañana,L2,TAP-38,R-P0003,618.27,17.42,191863,3617,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-15,mañana,L3,ENV-500,R-P0003,515.58,17.0,20358,451,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-15,tarde,L1,ENV-1000,R-P0003,539.22,12.71,13786,216,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-15,tarde,L3,ENV-500,R-P0003,562.11,14.55,22353,386,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-15,noche,L1,ENV-1000,R-P0003,591.33,13.69,15031,232,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-15,noche,L2,TAP-38,R-P0003,618.61,20.93,190972,4348,0,1,51,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-15,noche,L3,ENV-500,R-P0003,648.83,14.34,25764,379,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-16,mañana,L3,ENV-500,R-P0003,444.45,14.83,17592,395,0,1,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-16,tarde,L1,ENV-1000,R-P0003,567.68,23.45,14280,400,0,1,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-16,tarde,L2,BAN-250,R-P0004,578.26,21.03,43644,1071,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-02-16,tarde,L3,ENV-500,R-P0004,617.97,14.11,24724,376,0,0,51,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-16,noche,L1,ENV-1000,R-P0004,659.28,20.88,16857,358,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-16,noche,L2,BAN-250,R-P0004,603.14,17.53,45834,892,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-02-16,noche,L3,ENV-500,R-P0004,630.49,16.99,25103,452,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-17,mañana,L2,BAN-250,R-P0004,526.99,14.52,39895,735,0,0,83,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-17,mañana,L3,ENV-500,R-P0004,699.87,19.49,27673,515,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-17,tarde,L1,ENV-500,R-P0004,523.31,22.16,20287,583,1,0,77,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-17,tarde,L2,BAN-250,R-P0004,487.13,14.69,36786,744,0,0,24,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-17,noche,L1,ENV-500,R-P0004,544.1,20.81,21213,548,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-17,noche,L2,BAN-250,R-P0004,409.05,15.82,30622,801,0,1,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-18,mañana,L1,ENV-500,R-P0004,504.39,11.07,20000,292,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-18,mañana,L3,ENV-500,R-P0004,644.35,16.76,25532,443,0,0,17,0,producción estable
Envases del Pacífico S.A.S.,2026-02-18,tarde,L1,ENV-500,R-P0004,756.21,23.63,29780,624,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-18,tarde,L2,BAN-250,R-P0004,541.4,18.19,40951,925,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-18,tarde,L3,ENV-500,R-P0004,665.29,21.68,26317,576,0,1,40,0,producción estable
Envases del Pacífico S.A.S.,2026-02-18,noche,L1,ENV-500,R-P0004,528.59,16.36,20739,431,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-02-18,noche,L2,BAN-250,R-P0004,393.9,13.12,29612,663,0,1,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-19,mañana,L2,BAN-250,R-P0004,508.74,15.93,38709,813,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-02-19,mañana,L3,ENV-500,R-P0004,534.69,17.73,21083,470,0,0,51,0,turno normal
Envases del Pacífico S.A.S.,2026-02-19,tarde,L1,ENV-500,R-P0004,507.97,12.88,20027,339,0,0,0,0,"arranque con el molde frío, mucha rebaba en las primeras cajas"
Envases del Pacífico S.A.S.,2026-02-19,tarde,L2,BAN-250,R-P0004,592.03,20.13,44392,1016,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-19,tarde,L3,ENV-500,R-P0004,690.99,21.98,27386,585,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-19,noche,L1,ENV-500,R-P0004,485.48,15.65,19024,412,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-02-19,noche,L2,BAN-250,R-P0005,793.94,24.4,59567,1228,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-02-19,noche,L3,ENV-500,R-P0005,489.03,15.8,19299,419,0,0,42,0,sin novedad
